level_0,index,kp,score
74,74,1.5500000000000003,307.9857243057239
9,9,1.4500000000000002,335.4064416145896
18,18,1.35,368.2912806207612
59,59,1.2500000000000002,408.2239442301675
33,33,1.1500000000000001,457.40449933052713
50,50,1.05,518.9597812752547
53,53,0.95,597.4434049965996
21,21,0.8500000000000001,699.6822951499316
19,19,0.75,836.2581267771913
24,24,0.65,1024.2345922989307
94,94,0.55,1292.4253562004455
1,1,0.45,1692.317752734063
30,30,0.35000000000000003,2322.8358882787406
81,81,0.25,3396.1311222790428
46,46,0.15000000000000002,5393.815202494834
0,0,5.55,
2,2,9.45,
3,3,3.6500000000000004,
4,4,8.850000000000001,
5,5,5.95,
6,6,8.149999999999999,
7,7,8.45,
8,8,7.25,
10,10,4.15,
11,11,8.25,
12,12,9.95,
13,13,4.95,
14,14,6.95,
15,15,2.45,
16,16,7.15,
17,17,2.95,
20,20,6.55,
22,22,3.45,
23,23,7.75,
25,25,3.1500000000000004,
26,26,4.449999999999999,
27,27,8.350000000000001,
28,28,9.75,
29,29,1.6500000000000001,
31,31,2.05,
32,32,9.65,
34,34,6.35,
35,35,6.75,
36,36,2.8500000000000005,
37,37,3.0500000000000003,
38,38,2.3500000000000005,
39,39,6.65,
40,40,7.55,
41,41,5.25,
42,42,7.05,
43,43,5.15,
44,44,8.05,
45,45,7.85,
47,47,6.05,
48,48,3.5500000000000003,
49,49,7.45,
51,51,2.25,
52,52,2.6500000000000004,
54,54,4.05,
55,55,8.75,
56,56,6.45,
57,57,4.75,
58,58,3.3500000000000005,
60,60,1.85,
61,61,4.55,
62,62,1.9500000000000002,
63,63,8.55,
64,64,5.05,
65,65,2.5500000000000003,
66,66,7.65,
67,67,3.75,
68,68,2.75,
69,69,7.95,
70,70,9.25,
71,71,5.75,
72,72,3.25,
73,73,8.95,
75,75,9.350000000000001,
76,76,5.35,
77,77,3.8500000000000005,
78,78,5.65,
79,79,1.7500000000000002,
80,80,7.35,
82,82,5.45,
83,83,9.05,
84,84,9.850000000000001,
85,85,4.85,
86,86,4.65,
87,87,6.85,
88,88,3.95,
89,89,2.1500000000000004,
90,90,4.35,
91,91,5.85,
92,92,9.55,
93,93,6.15,
95,95,8.649999999999999,
96,96,6.25,
97,97,4.25,
98,98,9.149999999999999,
